Episode,Reward,Violations,Unassigned_Positions,Non_Violated_Assignments
611,9380.0,37,3,1147
612,10400.0,37,2,1141
613,10420.0,30,4,1147
614,10080.0,37,1,1144
615,10300.0,29,4,1149
616,9690.0,34,1,1150
617,10140.0,23,5,1156
618,9010.0,41,5,1143
619,9350.0,39,2,1146
620,9270.0,36,3,1149
621,10410.0,23,3,1156
622,9280.0,35,3,1150
623,9910.0,27,5,1153
624,8190.0,47,8,1139
625,10550.0,23,1,1157
626,8870.0,42,5,1143
627,9540.0,29,5,1153
628,10730.0,29,1,1149
629,9860.0,36,4,1144
630,10050.0,33,2,1148
631,9770.0,34,4,1147
632,9850.0,29,4,1152
633,9820.0,30,3,1152
634,9090.0,50,2,1135
635,10230.0,31,2,1149
636,9330.0,34,6,1148
637,10560.0,29,2,1149
638,9770.0,33,4,1148
639,10120.0,30,1,1152
640,9680.0,35,2,1148
641,10020.0,28,2,1154
642,10900.0,28,1,1149
643,10200.0,26,2,1155
644,11220.0,19,1,1157
645,10710.0,23,3,1154
646,9730.0,28,4,1154
647,9880.0,27,4,1154
648,9960.0,37,1,1145
649,10360.0,24,2,1156
650,9610.0,32,3,1151
651,10140.0,22,3,1159
652,9480.0,33,4,1150
653,10780.0,27,2,1150
654,10570.0,22,2,1157
655,10040.0,33,4,1146
656,10690.0,24,2,1154
657,10850.0,23,1,1155
658,11010.0,21,0,1157
659,10110.0,31,3,1149
660,10450.0,27,2,1152
661,9390.0,36,4,1147
662,9510.0,38,3,1145
663,10890.0,28,1,1149
664,10740.0,21,2,1157
665,10470.0,20,3,1159
666,9670.0,36,2,1147
667,8360.0,56,2,1133
668,11130.0,15,2,1161
669,9380.0,31,4,1153
670,9820.0,30,2,1153
671,9880.0,34,3,1147
672,9150.0,40,4,1144
673,10050.0,33,3,1147
674,10270.0,31,4,1147
675,10740.0,22,2,1156
676,9890.0,34,4,1146
677,9990.0,29,4,1151
678,10330.0,25,0,1157
679,10280.0,29,3,1150
680,10120.0,36,1,1145
681,9830.0,36,1,1147
682,10040.0,27,4,1153
683,10410.0,24,4,1154
684,10950.0,18,2,1159
685,10140.0,36,0,1146
686,9940.0,32,5,1147
687,10480.0,26,3,1152
688,10760.0,21,4,1155
689,10390.0,24,4,1154
690,9710.0,35,2,1148
691,10340.0,26,3,1153
692,10470.0,27,3,1151
693,10170.0,35,3,1144
694,11270.0,17,1,1159
695,9160.0,35,6,1148
696,10480.0,33,0,1147
697,10230.0,25,4,1154
698,10200.0,26,4,1153
699,9630.0,32,3,1151
700,11100.0,18,1,1159
701,10760.0,20,1,1159
702,10580.0,23,4,1154
703,10670.0,18,4,1159
704,9600.0,33,3,1150
705,9910.0,31,1,1152
706,9110.0,42,2,1144
707,9960.0,31,4,1149
708,10630.0,19,1,1161
709,10490.0,20,4,1158
710,10460.0,28,3,1150
711,10090.0,25,4,1155
712,9270.0,36,6,1146
713,10580.0,34,0,1145
714,9620.0,35,6,1145
715,9150.0,35,7,1147
716,10300.0,28,4,1150
717,9910.0,33,4,1147
718,10770.0,26,2,1151
719,9760.0,35,5,1145
720,10220.0,32,3,1147
721,10500.0,27,3,1151
722,9990.0,30,4,1150
723,10240.0,31,1,1150
724,10520.0,24,2,1155
725,9130.0,37,7,1145
726,9760.0,33,2,1150
727,8790.0,38,5,1148
728,9850.0,29,4,1152
729,10210.0,26,3,1154
730,10760.0,20,1,1159
731,10450.0,28,2,1151
732,10180.0,27,2,1154
733,9840.0,35,1,1148
734,10900.0,20,2,1157
735,8790.0,43,2,1145
736,9840.0,30,3,1152
737,10420.0,28,0,1153
738,10300.0,28,2,1152
739,10260.0,31,3,1148
740,10290.0,30,3,1149
741,10900.0,21,3,1155
742,10870.0,22,0,1157
743,9460.0,41,4,1141
744,10360.0,27,5,1150
745,10100.0,32,5,1146
746,10560.0,27,0,1153
747,10420.0,21,0,1161
748,9440.0,42,4,1140
749,10750.0,19,0,1161
750,8800.0,44,2,1144
751,9960.0,30,3,1151
752,10170.0,28,3,1152
753,10190.0,32,1,1149
754,10650.0,26,2,1152
755,8980.0,43,3,1143
756,10370.0,26,3,1153
757,10500.0,26,3,1152
758,10230.0,32,1,1149
759,10350.0,26,1,1155
760,8670.0,44,9,1138
761,10220.0,32,2,1148
762,10520.0,25,2,1154
763,10730.0,22,1,1157
764,9730.0,35,3,1147
765,10940.0,25,2,1151
766,10260.0,30,1,1151
767,10050.0,39,0,1143
768,10890.0,27,1,1150
769,10080.0,32,1,1150
770,9630.0,33,3,1150
771,10820.0,24,1,1154
